,age
0,29
1,0.916700006
2,2
3,30
4,25
5,48
6,63
7,39
8,53
9,71
10,47
11,18
12,24
13,26
14,80
15,9999
16,24
17,50
18,32
19,36
20,37
21,47
22,26
23,42
24,29
25,25
26,25
27,19
28,35
29,28
30,45
31,40
32,30
33,58
34,42
35,45
36,22
37,9999
38,41
39,48
40,9999
41,44
42,59
43,60
44,41
45,45
46,9999
47,42
48,53
49,36
50,58
51,33
52,28
53,17
54,11
55,14
56,36
57,36
58,49
59,9999
60,36
61,76
62,46
63,47
64,27
65,33
66,36
67,30
68,45
69,9999
70,9999
71,27
72,26
73,22
74,9999
75,47
76,39
77,37
78,64
79,55
80,9999
81,70
82,36
83,64
84,39
85,38
86,51
87,27
88,33
89,31
90,27
91,31
92,17
93,53
94,4
95,54
96,50
97,27
98,48
99,48
100,49
101,39
102,23
103,38
104,54
105,36
106,9999
107,9999
108,9999
109,36
110,30
111,24
112,28
113,23
114,19
115,64
116,60
117,30
118,9999
119,50
120,43
121,9999
122,22
123,60
124,48
125,9999
126,37
127,35
128,47
129,35
130,22
131,45
132,24
133,49
134,9999
135,71
136,53
137,19
138,38
139,58
140,23
141,45
142,46
143,25
144,25
145,48
146,49
147,9999
148,45
149,35
150,40
151,27
152,9999
153,24
154,55
155,52
156,42
157,9999
158,55
159,16
160,44
161,51
162,42
163,35
164,35
165,38
166,9999
167,35
168,38
169,50
170,49
171,46
172,50
173,32.5
174,58
175,41
176,9999
177,42
178,45
179,9999
180,39
181,49
182,30
183,35
184,9999
185,42
186,55
187,16
188,51
189,29
190,21
191,30
192,58
193,15
194,30
195,16
196,9999
197,19
198,18
199,24
200,46
201,54
202,36
203,28
204,9999
205,65
206,44
207,33
208,37
209,30
210,55
211,47
212,37
213,31
214,23
215,58
216,19
217,64
218,39
219,9999
220,22
221,65
222,28.5
223,9999
224,45.5
225,23
226,29
227,22
228,18
229,17
230,30
231,52
232,47
233,56
234,38
235,9999
236,22
237,9999
238,43
239,31
240,45
241,9999
242,33
243,46
244,36
245,33
246,55
247,54
248,33
249,13
250,18
251,21
252,61
253,48
254,9999
255,24
256,9999
257,35
258,30
259,34
260,40
261,35
262,50
263,39
264,56
265,28
266,56
267,56
268,24
269,9999
270,18
271,24
272,23
273,6
274,45
275,40
276,57
277,9999
278,32
279,62
280,54
281,43
282,52
283,9999
284,62
285,67
286,63
287,61
288,48
289,18
290,52
291,39
292,48
293,9999
294,49
295,17
296,39
297,9999
298,31
299,40
300,61
301,47
302,35
303,64
304,60
305,60
306,54
307,21
308,55
309,31
310,57
311,45
312,50
313,27
314,50
315,21
316,51
317,21
318,9999
319,31
320,9999
321,62
322,36
323,30
324,28
325,30
326,18
327,25
328,34
329,36
330,57
331,18
332,23
333,36
334,28
335,51
336,32
337,19
338,28
339,1
340,4
341,12
342,36
343,34
344,19
345,23
346,26
347,42
348,27
349,24
350,15
351,60
352,40
353,20
354,25
355,36
356,25
357,42
358,42
359,0.833299994
360,26
361,22
362,35
363,9999
364,19
365,44
366,54
367,52
368,37
369,29
370,25
371,45
372,29
373,28
374,29
375,28
376,24
377,8
378,31
379,31
380,22
381,30
382,9999
383,21
384,9999
385,8
386,18
387,48
388,28
389,32
390,17
391,29
392,24
393,25
394,18
395,18
396,34
397,54
398,8
399,42
400,34
401,27
402,30
403,23
404,21
405,18
406,40
407,29
408,18
409,36
410,9999
411,38
412,35
413,38
414,34
415,34
416,16
417,26
418,47
419,21
420,21
421,24
422,24
423,34
424,30
425,52
426,30
427,0.666700006
428,24
429,44
430,6
431,28
432,62
433,30
434,7
435,43
436,45
437,24
438,24
439,49
440,48
441,55
442,24
443,32
444,21
445,18
446,20
447,23
448,36
449,54
450,50
451,44
452,29
453,21
454,42
455,63
456,60
457,33
458,17
459,42
460,24
461,47
462,24
463,22
464,32
465,23
466,34
467,24
468,22
469,9999
470,35
471,45
472,57
473,9999
474,31
475,26
476,30
477,9999
478,1
479,3
480,25
481,22
482,17
483,9999
484,34
485,36
486,24
487,61
488,50
489,42
490,57
491,9999
492,1
493,31
494,24
495,9999
496,30
497,40
498,32
499,30
500,46
501,13
502,41
503,19
504,39
505,48
506,70
507,27
508,54
509,39
510,16
511,62
512,32.5
513,14
514,2
515,3
516,36.5
517,26
518,19
519,28
520,20
521,29
522,39
523,22
524,9999
525,23
526,29
527,28
528,9999
529,50
530,19
531,9999
532,41
533,21
534,19
535,43
536,32
537,34
538,30
539,27
540,2
541,8
542,33
543,36
544,34
545,30
546,28
547,23
548,0.833299994
549,3
550,24
551,50
552,19
553,21
554,26
555,25
556,27
557,25
558,18
559,20
560,30
561,59
562,30
563,35
564,40
565,25
566,41
567,25
568,18.5
569,14
570,50
571,23
572,28
573,27
574,29
575,27
576,40
577,31
578,30
579,23
580,31
581,9999
582,12
583,40
584,32.5
585,27
586,29
587,2
588,4
589,29
590,0.916700006
591,5
592,36
593,33
594,66
595,9999
596,31
597,9999
598,26
599,24
600,42
601,13
602,16
603,35
604,16
605,25
606,20
607,18
608,30
609,26
610,40
611,0.833299994
612,18
613,26
614,26
615,20
616,24
617,25
618,35
619,18
620,32
621,19
622,4
623,6
624,2
625,17
626,38
627,9
628,11
629,39
630,27
631,26
632,39
633,20
634,26
635,25
636,18
637,24
638,35
639,5
640,9
641,3
642,13
643,5
644,40
645,23
646,38
647,45
648,21
649,23
650,17
651,30
652,23
653,13
654,20
655,32
656,33
657,0.75
658,0.75
659,5
660,24
661,18
662,40
663,26
664,20
665,18
666,45
667,27
668,22
669,19
670,26
671,22
672,9999
673,20
674,32
675,21
676,18
677,26
678,6
679,9
680,9999
681,9999
682,9999
683,40
684,32
685,21
686,22
687,20
688,29
689,22
690,22
691,35
692,18.5
693,21
694,19
695,18
696,21
697,30
698,18
699,38
700,17
701,17
702,21
703,21
704,21
705,9999
706,9999
707,28
708,24
709,16
710,37
711,28
712,24
713,21
714,32
715,29
716,26
717,18
718,20
719,18
720,24
721,36
722,24
723,31
724,31
725,22
726,30
727,70.5
728,43
729,35
730,27
731,19
732,30
733,9
734,3
735,36
736,59
737,19
738,17
739,44
740,17
741,22.5
742,45
743,22
744,19
745,30
746,29
747,0.333299994
748,34
749,28
750,27
751,25
752,24
753,22
754,21
755,17
756,9999
757,9999
758,36.5
759,36
760,30
761,16
762,1
763,0.166700006
764,26
765,33
766,25
767,9999
768,9999
769,22
770,36
771,19
772,17
773,42
774,43
775,9999
776,32
777,19
778,30
779,24
780,23
781,33
782,65
783,24
784,23
785,22
786,18
787,16
788,45
789,9999
790,39
791,17
792,15
793,47
794,5
795,9999
796,40.5
797,40.5
798,9999
799,18
800,9999
801,9999
802,9999
803,26
804,9999
805,9999
806,21
807,9
808,9999
809,18
810,16
811,48
812,9999
813,9999
814,25
815,9999
816,9999
817,22
818,16
819,9999
820,9
821,33
822,41
823,31
824,38
825,9
826,1
827,11
828,10
829,16
830,14
831,40
832,43
833,51
834,32
835,9999
836,20
837,37
838,28
839,19
840,24
841,17
842,9999
843,9999
844,28
845,24
846,20
847,23.5
848,41
849,26
850,21
851,45
852,9999
853,25
854,9999
855,11
856,9999
857,27
858,9999
859,18
860,26
861,23
862,22
863,28
864,28
865,9999
866,2
867,22
868,43
869,28
870,27
871,9999
872,9999
873,42
874,9999
875,30
876,9999
877,27
878,25
879,9999
880,29
881,21
882,9999
883,20
884,48
885,17
886,9999
887,9999
888,34
889,26
890,22
891,33
892,31
893,29
894,4
895,1
896,49
897,33
898,19
899,27
900,9999
901,9999
902,9999
903,9999
904,23
905,32
906,27
907,20
908,21
909,32
910,17
911,21
912,30
913,21
914,33
915,22
916,4
917,39
918,9999
919,18.5
920,9999
921,9999
922,9999
923,9999
924,34.5
925,44
926,9999
927,9999
928,9999
929,9999
930,9999
931,9999
932,22
933,26
934,4
935,29
936,26
937,1
938,18
939,36
940,9999
941,25
942,9999
943,37
944,9999
945,9999
946,9999
947,22
948,9999
949,26
950,29
951,29
952,22
953,22
954,9999
955,9999
956,9999
957,9999
958,9999
959,32
960,34.5
961,9999
962,9999
963,36
964,39
965,24
966,25
967,45
968,36
969,30
970,20
971,9999
972,28
973,9999
974,30
975,26
976,9999
977,20.5
978,27
979,51
980,23
981,32
982,9999
983,9999
984,9999
985,24
986,22
987,9999
988,9999
989,9999
990,29
991,9999
992,30.5
993,9999
994,9999
995,35
996,33
997,9999
998,9999
999,9999
1000,9999
1001,9999
1002,9999
1003,9999
1004,9999
1005,9999
1006,9999
1007,15
1008,35
1009,9999
1010,24
1011,19
1012,9999
1013,9999
1014,9999
1015,55.5
1016,9999
1017,21
1018,9999
1019,24
1020,21
1021,28
1022,9999
1023,9999
1024,25
1025,6
1026,27
1027,9999
1028,9999
1029,9999
1030,9999
1031,34
1032,9999
1033,9999
1034,9999
1035,9999
1036,9999
1037,9999
1038,9999
1039,9999
1040,24
1041,9999
1042,9999
1043,9999
1044,9999
1045,18
1046,22
1047,15
1048,1
1049,20
1050,19
1051,33
1052,9999
1053,9999
1054,9999
1055,9999
1056,12
1057,14
1058,29
1059,28
1060,18
1061,26
1062,21
1063,41
1064,39
1065,21
1066,28.5
1067,22
1068,61
1069,9999
1070,9999
1071,9999
1072,9999
1073,9999
1074,9999
1075,23
1076,9999
1077,9999
1078,9999
1079,22
1080,9999
1081,9999
1082,9
1083,28
1084,42
1085,9999
1086,31
1087,28
1088,32
1089,20
1090,23
1091,20
1092,20
1093,16
1094,31
1095,9999
1096,2
1097,6
1098,3
1099,8
1100,29
1101,1
1102,7
1103,2
1104,16
1105,14
1106,41
1107,21
1108,19
1109,9999
1110,32
1111,0.75
1112,3
1113,26
1114,9999
1115,9999
1116,9999
1117,21
1118,25
1119,22
1120,25
1121,9999
1122,9999
1123,9999
1124,9999
1125,24
1126,28
1127,19
1128,9999
1129,25
1130,18
1131,32
1132,9999
1133,17
1134,24
1135,9999
1136,9999
1137,9999
1138,9999
1139,38
1140,21
1141,10
1142,4
1143,7
1144,2
1145,8
1146,39
1147,22
1148,35
1149,9999
1150,9999
1151,9999
1152,50
1153,47
1154,9999
1155,9999
1156,2
1157,18
1158,41
1159,9999
1160,50
1161,16
1162,9999
1163,9999
1164,9999
1165,25
1166,9999
1167,9999
1168,9999
1169,38.5
1170,9999
1171,14.5
1172,9999
1173,9999
1174,9999
1175,9999
1176,9999
1177,9999
1178,9999
1179,9999
1180,9999
1181,24
1182,21
1183,39
1184,9999
1185,9999
1186,9999
1187,1
1188,24
1189,4
1190,25
1191,20
1192,24.5
1193,9999
1194,9999
1195,9999
1196,29
1197,9999
1198,9999
1199,9999
1200,9999
1201,22
1202,9999
1203,40
1204,21
1205,18
1206,4
1207,10
1208,9
1209,2
1210,40
1211,45
1212,9999
1213,9999
1214,9999
1215,9999
1216,9999
1217,19
1218,30
1219,9999
1220,32
1221,9999
1222,33
1223,23
1224,21
1225,60.5
1226,19
1227,22
1228,31
1229,27
1230,2
1231,29
1232,16
1233,44
1234,25
1235,74
1236,14
1237,24
1238,25
1239,34
1240,0.416700006
1241,9999
1242,9999
1243,9999
1244,16
1245,9999
1246,9999
1247,9999
1248,32
1249,9999
1250,9999
1251,30.5
1252,44
1253,9999
1254,25
1255,9999
1256,7
1257,9
1258,29
1259,36
1260,18
1261,63
1262,9999
1263,11.5
1264,40.5
1265,10
1266,36
1267,30
1268,9999
1269,33
1270,28
1271,28
1272,47
1273,18
1274,31
1275,16
1276,31
1277,22
1278,20
1279,14
1280,22
1281,22
1282,9999
1283,9999
1284,9999
1285,32.5
1286,38
1287,51
1288,18
1289,21
1290,47
1291,9999
1292,9999
1293,9999
1294,28.5
1295,21
1296,27
1297,9999
1298,36
1299,27
1300,15
1301,45.5
1302,9999
1303,9999
1304,14.5
1305,9999
1306,26.5
1307,27
1308,29
1309,
1310,age
1311,29
1312,0.916700006
1313,2
1314,30
1315,25
1316,48
1317,63
1318,39
1319,53
1320,71
1321,47
1322,18
1323,24
1324,26
1325,80
1326,9999
1327,24
1328,50
1329,32
1330,36
1331,37
1332,47
1333,26
1334,42
1335,29
1336,25
1337,25
1338,19
1339,35
1340,28
1341,45
1342,40
1343,30
1344,58
1345,42
1346,45
1347,22
1348,9999
1349,41
1350,48
1351,9999
1352,44
1353,59
1354,60
1355,41
1356,45
1357,9999
1358,42
1359,53
1360,36
1361,58
1362,33
1363,28
1364,17
1365,11
1366,14
1367,36
1368,36
1369,49
1370,9999
1371,36
1372,76
1373,46
1374,47
1375,27
1376,33
1377,36
1378,30
1379,45
1380,9999
1381,9999
1382,27
1383,26
1384,22
1385,9999
1386,47
1387,39
1388,37
1389,64
1390,55
1391,9999
1392,70
1393,36
1394,64
1395,39
1396,38
1397,51
1398,27
1399,33
1400,31
1401,27
1402,31
1403,17
1404,53
1405,4
1406,54
1407,50
1408,27
1409,48
1410,48
1411,49
1412,39
1413,23
1414,38
1415,54
1416,36
1417,9999
1418,9999
1419,9999
1420,36
1421,30
1422,24
1423,28
1424,23
1425,19
1426,64
1427,60
1428,30
1429,9999
1430,50
1431,43
1432,9999
1433,22
1434,60
1435,48
1436,9999
1437,37
1438,35
1439,47
1440,35
1441,22
1442,45
1443,24
1444,49
1445,9999
1446,71
1447,53
1448,19
1449,38
1450,58
1451,23
1452,45
1453,46
1454,25
1455,25
1456,48
1457,49
1458,9999
1459,45
1460,35
1461,40
1462,27
1463,9999
1464,24
1465,55
1466,52
1467,42
1468,9999
1469,55
1470,16
1471,44
1472,51
1473,42
1474,35
1475,35
1476,38
1477,9999
1478,35
1479,38
1480,50
1481,49
1482,46
1483,50
1484,32.5
1485,58
1486,41
1487,9999
1488,42
1489,45
1490,9999
1491,39
1492,49
1493,30
1494,35
1495,9999
1496,42
1497,55
1498,16
1499,51
1500,29
1501,21
1502,30
1503,58
1504,15
1505,30
1506,16
1507,9999
1508,19
1509,18
1510,24
1511,46
1512,54
1513,36
1514,28
1515,9999
1516,65
1517,44
1518,33
1519,37
1520,30
1521,55
1522,47
1523,37
1524,31
1525,23
1526,58
1527,19
1528,64
1529,39
1530,9999
1531,22
1532,65
1533,28.5
1534,9999
1535,45.5
1536,23
1537,29
1538,22
1539,18
1540,17
1541,30
1542,52
1543,47
1544,56
1545,38
1546,9999
1547,22
1548,9999
1549,43
1550,31
1551,45
1552,9999
1553,33
1554,46
1555,36
1556,33
1557,55
1558,54
1559,33
1560,13
1561,18
1562,21
1563,61
1564,48
1565,9999
1566,24
1567,9999
1568,35
1569,30
1570,34
1571,40
1572,35
1573,50
1574,39
1575,56
1576,28
1577,56
1578,56
1579,24
1580,9999
1581,18
1582,24
1583,23
1584,6
1585,45
1586,40
1587,57
1588,9999
1589,32
1590,62
1591,54
1592,43
1593,52
1594,9999
1595,62
1596,67
1597,63
1598,61
1599,48
1600,18
1601,52
1602,39
1603,48
1604,9999
1605,49
1606,17
1607,39
1608,9999
1609,31
1610,40
1611,61
1612,47
1613,35
1614,64
1615,60
1616,60
1617,54
1618,21
1619,55
1620,31
1621,57
1622,45
1623,50
1624,27
1625,50
1626,21
1627,51
1628,21
1629,9999
1630,31
1631,9999
1632,62
1633,36
1634,30
1635,28
1636,30
1637,18
1638,25
1639,34
1640,36
1641,57
1642,18
1643,23
1644,36
1645,28
1646,51
1647,32
1648,19
1649,28
1650,1
1651,4
1652,12
1653,36
1654,34
1655,19
1656,23
1657,26
1658,42
1659,27
1660,24
1661,15
1662,60
1663,40
1664,20
1665,25
1666,36
1667,25
1668,42
1669,42
1670,0.833299994
1671,26
1672,22
1673,35
1674,9999
1675,19
1676,44
1677,54
1678,52
1679,37
1680,29
1681,25
1682,45
1683,29
1684,28
1685,29
1686,28
1687,24
1688,8
1689,31
1690,31
1691,22
1692,30
1693,9999
1694,21
1695,9999
1696,8
1697,18
1698,48
1699,28
1700,32
1701,17
1702,29
1703,24
1704,25
1705,18
1706,18
1707,34
1708,54
1709,8
1710,42
1711,34
1712,27
1713,30
1714,23
1715,21
1716,18
1717,40
1718,29
1719,18
1720,36
1721,9999
1722,38
1723,35
1724,38
1725,34
1726,34
1727,16
1728,26
1729,47
1730,21
1731,21
1732,24
1733,24
1734,34
1735,30
1736,52
1737,30
1738,0.666700006
1739,24
1740,44
1741,6
1742,28
1743,62
1744,30
1745,7
1746,43
1747,45
1748,24
1749,24
1750,49
1751,48
1752,55
1753,24
1754,32
1755,21
1756,18
1757,20
1758,23
1759,36
1760,54
1761,50
1762,44
1763,29
1764,21
1765,42
1766,63
1767,60
1768,33
1769,17
1770,42
1771,24
1772,47
1773,24
1774,22
1775,32
1776,23
1777,34
1778,24
1779,22
1780,9999
1781,35
1782,45
1783,57
1784,9999
1785,31
1786,26
1787,30
1788,9999
1789,1
1790,3
1791,25
1792,22
1793,17
1794,9999
1795,34
1796,36
1797,24
1798,61
1799,50
1800,42
1801,57
1802,9999
1803,1
1804,31
1805,24
1806,9999
1807,30
1808,40
1809,32
1810,30
1811,46
1812,13
1813,41
1814,19
1815,39
1816,48
1817,70
1818,27
1819,54
1820,39
1821,16
1822,62
1823,32.5
1824,14
1825,2
1826,3
1827,36.5
1828,26
1829,19
1830,28
1831,20
1832,29
1833,39
1834,22
1835,9999
1836,23
1837,29
1838,28
1839,9999
1840,50
1841,19
1842,9999
1843,41
1844,21
1845,19
1846,43
1847,32
1848,34
1849,30
1850,27
1851,2
1852,8
1853,33
1854,36
1855,34
1856,30
1857,28
1858,23
1859,0.833299994
1860,3
1861,24
1862,50
1863,19
1864,21
1865,26
1866,25
1867,27
1868,25
1869,18
1870,20
1871,30
1872,59
1873,30
1874,35
1875,40
1876,25
1877,41
1878,25
1879,18.5
1880,14
1881,50
1882,23
1883,28
1884,27
1885,29
1886,27
1887,40
1888,31
1889,30
1890,23
1891,31
1892,9999
1893,12
1894,40
1895,32.5
1896,27
1897,29
1898,2
1899,4
1900,29
1901,0.916700006
1902,5
1903,36
1904,33
1905,66
1906,9999
1907,31
1908,9999
1909,26
1910,24
1911,42
1912,13
1913,16
1914,35
1915,16
1916,25
1917,20
1918,18
1919,30
1920,26
1921,40
1922,0.833299994
1923,18
1924,26
1925,26
1926,20
1927,24
1928,25
1929,35
1930,18
1931,32
1932,19
1933,4
1934,6
1935,2
1936,17
1937,38
1938,9
1939,11
1940,39
1941,27
1942,26
1943,39
1944,20
1945,26
1946,25
1947,18
1948,24
1949,35
1950,5
1951,9
1952,3
1953,13
1954,5
1955,40
1956,23
1957,38
1958,45
1959,21
1960,23
1961,17
1962,30
1963,23
1964,13
1965,20
1966,32
1967,33
1968,0.75
1969,0.75
1970,5
1971,24
1972,18
1973,40
1974,26
1975,20
1976,18
1977,45
1978,27
1979,22
1980,19
1981,26
1982,22
1983,9999
1984,20
1985,32
1986,21
1987,18
1988,26
1989,6
1990,9
1991,9999
1992,9999
1993,9999
1994,40
1995,32
1996,21
1997,22
1998,20
1999,29
2000,22
2001,22
2002,35
2003,18.5
2004,21
2005,19
2006,18
2007,21
2008,30
2009,18
2010,38
2011,17
2012,17
2013,21
2014,21
2015,21
2016,9999
2017,9999
2018,28
2019,24
2020,16
2021,37
2022,28
2023,24
2024,21
2025,32
2026,29
2027,26
2028,18
2029,20
2030,18
2031,24
2032,36
2033,24
2034,31
2035,31
2036,22
2037,30
2038,70.5
2039,43
2040,35
2041,27
2042,19
2043,30
2044,9
2045,3
2046,36
2047,59
2048,19
2049,17
2050,44
2051,17
2052,22.5
2053,45
2054,22
2055,19
2056,30
2057,29
2058,0.333299994
2059,34
2060,28
2061,27
2062,25
2063,24
2064,22
2065,21
2066,17
2067,9999
2068,9999
2069,36.5
2070,36
2071,30
2072,16
2073,1
2074,0.166700006
2075,26
2076,33
2077,25
2078,9999
2079,9999
2080,22
2081,36
2082,19
2083,17
2084,42
2085,43
2086,9999
2087,32
2088,19
2089,30
2090,24
2091,23
2092,33
2093,65
2094,24
2095,23
2096,22
2097,18
2098,16
2099,45
2100,9999
2101,39
2102,17
2103,15
2104,47
2105,5
2106,9999
2107,40.5
2108,40.5
2109,9999
2110,18
2111,9999
2112,9999
2113,9999
2114,26
2115,9999
2116,9999
2117,21
2118,9
2119,9999
2120,18
2121,16
2122,48
2123,9999
2124,9999
2125,25
2126,9999
2127,9999
2128,22
2129,16
2130,9999
2131,9
2132,33
2133,41
2134,31
2135,38
2136,9
2137,1
2138,11
2139,10
2140,16
2141,14
2142,40
2143,43
2144,51
2145,32
2146,9999
2147,20
2148,37
2149,28
2150,19
2151,24
2152,17
2153,9999
2154,9999
2155,28
2156,24
2157,20
2158,23.5
2159,41
2160,26
2161,21
2162,45
2163,9999
2164,25
2165,9999
2166,11
2167,9999
2168,27
2169,9999
2170,18
2171,26
2172,23
2173,22
2174,28
2175,28
2176,9999
2177,2
2178,22
2179,43
2180,28
2181,27
2182,9999
2183,9999
2184,42
2185,9999
2186,30
2187,9999
2188,27
2189,25
2190,9999
2191,29
2192,21
2193,9999
2194,20
2195,48
2196,17
2197,9999
2198,9999
2199,34
2200,26
2201,22
2202,33
2203,31
2204,29
2205,4
2206,1
2207,49
2208,33
2209,19
2210,27
2211,9999
2212,9999
2213,9999
2214,9999
2215,23
2216,32
2217,27
2218,20
2219,21
2220,32
2221,17
2222,21
2223,30
2224,21
2225,33
2226,22
2227,4
2228,39
2229,9999
2230,18.5
2231,9999
2232,9999
2233,9999
2234,9999
2235,34.5
2236,44
2237,9999
2238,9999
2239,9999
2240,9999
2241,9999
2242,9999
2243,22
2244,26
2245,4
2246,29
2247,26
2248,1
2249,18
2250,36
2251,9999
2252,25
2253,9999
2254,37
2255,9999
2256,9999
2257,9999
2258,22
2259,9999
2260,26
2261,29
2262,29
2263,22
2264,22
2265,9999
2266,9999
2267,9999
2268,9999
2269,9999
2270,32
2271,34.5
2272,9999
2273,9999
2274,36
2275,39
2276,24
2277,25
2278,45
2279,36
2280,30
2281,20
2282,9999
2283,28
2284,9999
2285,30
2286,26
2287,9999
2288,20.5
2289,27
2290,51
2291,23
2292,32
2293,9999
2294,9999
2295,9999
2296,24
2297,22
2298,9999
2299,9999
2300,9999
2301,29
2302,9999
2303,30.5
2304,9999
2305,9999
2306,35
2307,33
2308,9999
2309,9999
2310,9999
2311,9999
2312,9999
2313,9999
2314,9999
2315,9999
2316,9999
2317,9999
2318,15
2319,35
2320,9999
2321,24
2322,19
2323,9999
2324,9999
2325,9999
2326,55.5
2327,9999
2328,21
2329,9999
2330,24
2331,21
2332,28
2333,9999
2334,9999
2335,25
2336,6
2337,27
2338,9999
2339,9999
2340,9999
2341,9999
2342,34
2343,9999
2344,9999
2345,9999
2346,9999
2347,9999
2348,9999
2349,9999
2350,9999
2351,24
2352,9999
2353,9999
2354,9999
2355,9999
2356,18
2357,22
2358,15
2359,1
2360,20
2361,19
2362,33
2363,9999
2364,9999
2365,9999
2366,9999
2367,12
2368,14
2369,29
2370,28
2371,18
2372,26
2373,21
2374,41
2375,39
2376,21
2377,28.5
2378,22
2379,61
2380,9999
2381,9999
2382,9999
2383,9999
2384,9999
2385,9999
2386,23
2387,9999
2388,9999
2389,9999
2390,22
2391,9999
2392,9999
2393,9
2394,28
2395,42
2396,9999
2397,31
2398,28
2399,32
2400,20
2401,23
2402,20
2403,20
2404,16
2405,31
2406,9999
2407,2
2408,6
2409,3
2410,8
2411,29
2412,1
2413,7
2414,2
2415,16
2416,14
2417,41
2418,21
2419,19
2420,9999
2421,32
2422,0.75
2423,3
2424,26
2425,9999
2426,9999
2427,9999
2428,21
2429,25
2430,22
2431,25
2432,9999
2433,9999
2434,9999
2435,9999
2436,24
2437,28
2438,19
2439,9999
2440,25
2441,18
2442,32
2443,9999
2444,17
2445,24
2446,9999
2447,9999
2448,9999
2449,9999
2450,38
2451,21
2452,10
2453,4
2454,7
2455,2
2456,8
2457,39
2458,22
2459,35
2460,9999
2461,9999
2462,9999
2463,50
2464,47
2465,9999
2466,9999
2467,2
2468,18
2469,41
2470,9999
2471,50
2472,16
2473,9999
2474,9999
2475,9999
2476,25
2477,9999
2478,9999
2479,9999
2480,38.5
2481,9999
2482,14.5
2483,9999
2484,9999
2485,9999
2486,9999
2487,9999
2488,9999
2489,9999
2490,9999
2491,9999
2492,24
2493,21
2494,39
2495,9999
2496,9999
2497,9999
2498,1
2499,24
2500,4
2501,25
2502,20
2503,24.5
2504,9999
2505,9999
2506,9999
2507,29
2508,9999
2509,9999
2510,9999
2511,9999
2512,22
2513,9999
2514,40
2515,21
2516,18
2517,4
2518,10
2519,9
2520,2
2521,40
2522,45
2523,9999
2524,9999
2525,9999
2526,9999
2527,9999
2528,19
2529,30
2530,9999
2531,32
2532,9999
2533,33
2534,23
2535,21
2536,60.5
2537,19
2538,22
2539,31
2540,27
2541,2
2542,29
2543,16
2544,44
2545,25
2546,74
2547,14
2548,24
2549,25
2550,34
2551,0.416700006
2552,9999
2553,9999
2554,9999
2555,16
2556,9999
2557,9999
2558,9999
2559,32
2560,9999
2561,9999
2562,30.5
2563,44
2564,9999
2565,25
2566,9999
2567,7
2568,9
2569,29
2570,36
2571,18
2572,63
2573,9999
2574,11.5
2575,40.5
2576,10
2577,36
2578,30
2579,9999
2580,33
2581,28
2582,28
2583,47
2584,18
2585,31
2586,16
2587,31
2588,22
2589,20
2590,14
2591,22
2592,22
2593,9999
2594,9999
2595,9999
2596,32.5
2597,38
2598,51
2599,18
2600,21
2601,47
2602,9999
2603,9999
2604,9999
2605,28.5
2606,21
2607,27
2608,9999
2609,36
2610,27
2611,15
2612,45.5
2613,9999
2614,9999
2615,14.5
2616,9999
2617,26.5
2618,27
2619,29
